epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.0315,0.95708,0.76969,0.99606,0.65814,0.000164062,0.000164062,0.0673516
2,65.3474,0.56971,0.85236,1,0.42827,0.000327455,0.000327455,0.0341816
3,87.8104,0.45111,0.82874,0.99803,0.57916,0.000487547,0.000487547,0.00100838
4,124.751,0.58527,0.87402,0.99606,0.40533,0.00048515,0.00048515,0.00048515
5,147.43,0.45698,0.85039,1,0.42047,0.0004802,0.0004802,0.0004802
6,169.619,0.3593,0.83661,0.99803,0.57635,0.00047525,0.00047525,0.00047525
7,198.582,0.34499,0.91535,0.99803,0.25806,0.0004703,0.0004703,0.0004703
8,224.108,0.29567,0.90748,1,0.27086,0.00046535,0.00046535,0.00046535
9,248.338,0.26787,0.89764,1,0.30592,0.0004604,0.0004604,0.0004604
10,270.68,0.22875,0.91929,1,0.23943,0.00045545,0.00045545,0.00045545
11,296.648,0.19982,0.91732,0.99803,0.31503,0.0004505,0.0004505,0.0004505
12,325.572,0.19475,0.93504,1,0.24152,0.00044555,0.00044555,0.00044555
13,355.789,0.17412,0.91535,1,0.25548,0.0004406,0.0004406,0.0004406
14,386.148,0.15558,0.93307,1,0.21514,0.00043565,0.00043565,0.00043565
15,434.009,0.17855,0.90945,0.99803,0.343,0.0004307,0.0004307,0.0004307
16,482.896,0.1613,0.92913,1,0.23274,0.00042575,0.00042575,0.00042575
17,511.155,0.1767,0.91929,1,0.23692,0.0004208,0.0004208,0.0004208
18,556.816,0.17378,0.9311,0.99803,0.23389,0.00041585,0.00041585,0.00041585
19,585.786,0.16708,0.92126,1,0.24005,0.0004109,0.0004109,0.0004109
20,613.87,0.16502,0.94094,0.99803,0.25529,0.00040595,0.00040595,0.00040595
21,646.946,0.16006,0.93307,1,0.21456,0.000401,0.000401,0.000401
22,676.71,0.1301,0.92126,1,0.29266,0.00039605,0.00039605,0.00039605
23,704.637,0.12644,0.93898,1,0.24063,0.0003911,0.0003911,0.0003911
24,732.856,0.10949,0.93701,1,0.23209,0.00038615,0.00038615,0.00038615
25,762.569,0.10023,0.93701,1,0.21678,0.0003812,0.0003812,0.0003812
26,797.244,0.10375,0.93307,1,0.21402,0.00037625,0.00037625,0.00037625
27,828.002,0.10362,0.94291,1,0.26028,0.0003713,0.0003713,0.0003713
28,862.463,0.14594,0.92913,1,0.24605,0.00036635,0.00036635,0.00036635
29,902.151,0.08716,0.93307,1,0.21022,0.0003614,0.0003614,0.0003614
30,940.337,0.09938,0.93504,0.99606,0.26883,0.00035645,0.00035645,0.00035645
31,976.285,0.09044,0.90551,0.99803,0.34468,0.0003515,0.0003515,0.0003515
32,1002.76,0.0732,0.92323,1,0.26494,0.00034655,0.00034655,0.00034655
33,1031.83,0.08799,0.93307,1,0.2336,0.0003416,0.0003416,0.0003416
34,1056.77,0.0722,0.93701,0.99803,0.22306,0.00033665,0.00033665,0.00033665
35,1103.12,0.0842,0.93504,1,0.2224,0.0003317,0.0003317,0.0003317
36,1131.72,0.07666,0.92717,1,0.22301,0.00032675,0.00032675,0.00032675
37,1160.2,0.07391,0.92717,1,0.28514,0.0003218,0.0003218,0.0003218
