epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.387,1.08738,1.05143,1.42509,0.55195,0.49929,0.41375,0.30982,1.02957,1.00064,1.32372,0.000166541,0.000166541,0.0668584
2,590.635,1.0862,0.98861,1.41621,0.5037,0.6465,0.46629,0.34617,0.90108,0.90641,1.28892,0.000333151,0.000333151,0.0336917
3,877.161,1.08584,0.9732,1.41274,0.66775,0.4963,0.5987,0.47746,0.92877,0.77029,1.27151,0.000499535,0.000499535,0.000524711
4,1163.52,1.04293,0.92911,1.39221,0.57656,0.63677,0.57381,0.47165,0.84699,0.77606,1.25508,0.000499237,0.000499237,0.000499237
5,1451.47,0.97548,0.8864,1.35496,0.68053,0.61306,0.62292,0.51904,0.77169,0.65965,1.17354,0.000498644,0.000498644,0.000498644
6,1734.42,0.93442,0.86569,1.32523,0.47198,0.68175,0.63552,0.52558,0.85494,0.70266,1.24384,0.000497883,0.000497883,0.000497883
7,2020.48,0.90137,0.81743,1.30829,0.59679,0.66968,0.7074,0.58675,0.76487,0.59785,1.14929,0.000496953,0.000496953,0.000496953
8,2304.65,0.87917,0.81858,1.29738,0.51254,0.73499,0.67486,0.57749,0.73184,0.62546,1.12419,0.000495856,0.000495856,0.000495856
9,2584.3,0.86001,0.78505,1.29249,0.59776,0.68558,0.70597,0.59086,0.75747,0.58338,1.13157,0.000494592,0.000494592,0.000494592
10,2862.76,0.83179,0.76442,1.26559,0.61053,0.75467,0.72977,0.63689,0.65213,0.54492,1.04953,0.000493162,0.000493162,0.000493162
11,3144.18,0.81814,0.75756,1.26835,0.65104,0.70554,0.76743,0.66437,0.68616,0.53139,1.07816,0.000491567,0.000491567,0.000491567
12,3421.1,0.79737,0.72662,1.25302,0.58597,0.73733,0.75916,0.63906,0.70717,0.54614,1.07929,0.000489808,0.000489808,0.000489808
13,3697.76,0.80984,0.72698,1.25817,0.62013,0.70308,0.72916,0.64282,0.5987,0.56922,1.00565,0.000487886,0.000487886,0.000487886
14,3975.63,0.77987,0.71663,1.23979,0.63957,0.75884,0.78572,0.69394,0.60772,0.4964,0.99827,0.000485804,0.000485804,0.000485804
15,4252.14,0.76797,0.69272,1.23863,0.62447,0.71009,0.75106,0.66254,0.64438,0.51134,1.02823,0.000483561,0.000483561,0.000483561
16,4537.38,0.76491,0.68774,1.22818,0.71728,0.73675,0.79257,0.68709,0.60528,0.50193,1.02221,0.00048116,0.00048116,0.00048116
17,4812.63,0.76111,0.68886,1.23735,0.66342,0.77378,0.77531,0.68517,0.58437,0.48224,0.99685,0.000478603,0.000478603,0.000478603
18,5088.93,0.73208,0.66237,1.21994,0.67094,0.8127,0.80363,0.7159,0.56445,0.46183,0.968,0.00047589,0.00047589,0.00047589
19,5364.11,0.73274,0.65079,1.21918,0.71799,0.821,0.80676,0.71491,0.58098,0.46357,1.00674,0.000473024,0.000473024,0.000473024
20,5639.16,0.71886,0.64044,1.20616,0.67417,0.72305,0.77536,0.68762,0.62516,0.46072,1.02048,0.000470007,0.000470007,0.000470007
21,5913.96,0.71338,0.63585,1.2005,0.67712,0.80025,0.80468,0.7208,0.5644,0.47379,0.96151,0.000466841,0.000466841,0.000466841
22,6190.25,0.702,0.63241,1.20041,0.71179,0.7561,0.80642,0.73111,0.54503,0.47375,0.95288,0.000463528,0.000463528,0.000463528
23,6466.84,0.70782,0.62128,1.20334,0.68595,0.79668,0.81208,0.71305,0.62306,0.45208,1.01741,0.000460071,0.000460071,0.000460071
24,6741.94,0.70088,0.60278,1.19824,0.68441,0.86751,0.8142,0.72808,0.55769,0.42363,0.94767,0.000456471,0.000456471,0.000456471
25,7016.91,0.69331,0.61185,1.19572,0.76146,0.76621,0.82262,0.73211,0.54086,0.40475,0.95139,0.000452732,0.000452732,0.000452732
26,7296.29,0.68613,0.59136,1.19058,0.76133,0.86336,0.85316,0.76623,0.54723,0.39782,0.96051,0.000448855,0.000448855,0.000448855
27,7572.68,0.68343,0.5784,1.19371,0.81985,0.81874,0.83671,0.74996,0.54023,0.39101,0.97544,0.000444844,0.000444844,0.000444844
28,7848.92,0.67371,0.57142,1.18074,0.75538,0.85932,0.84997,0.76669,0.53904,0.37834,0.95352,0.0004407,0.0004407,0.0004407
29,8131.49,0.68556,0.58708,1.18826,0.84117,0.836,0.88635,0.80441,0.5186,0.36759,0.94096,0.000436428,0.000436428,0.000436428
30,8407.73,0.65627,0.5648,1.17247,0.83348,0.85671,0.89987,0.81448,0.48335,0.36054,0.91518,0.00043203,0.00043203,0.00043203
31,8684.03,0.65669,0.56226,1.1765,0.83066,0.85331,0.88234,0.80512,0.49465,0.35156,0.92272,0.000427509,0.000427509,0.000427509
32,8959.75,0.66461,0.55157,1.17972,0.80288,0.82994,0.87724,0.79697,0.50159,0.36493,0.92635,0.000422868,0.000422868,0.000422868
33,9240.46,0.66606,0.54133,1.18217,0.83164,0.85385,0.88462,0.80256,0.50165,0.35359,0.9237,0.00041811,0.00041811,0.00041811
34,9516.36,0.64857,0.53148,1.17084,0.79887,0.81097,0.86656,0.78464,0.53032,0.38643,0.9478,0.000413238,0.000413238,0.000413238
35,9792.86,0.65097,0.53541,1.16907,0.8771,0.83183,0.90599,0.81496,0.52086,0.34898,0.94743,0.000408257,0.000408257,0.000408257
36,10074,0.65861,0.52584,1.17987,0.85572,0.81814,0.89373,0.80117,0.52966,0.36528,0.96645,0.000403168,0.000403168,0.000403168
37,10348.5,0.65624,0.52959,1.17568,0.89056,0.84116,0.89541,0.81313,0.48932,0.35639,0.92417,0.000397977,0.000397977,0.000397977
38,10622.9,0.63958,0.5172,1.16328,0.79152,0.87251,0.89414,0.81605,0.4929,0.35729,0.92845,0.000392686,0.000392686,0.000392686
39,10899.3,0.6347,0.50141,1.16019,0.87839,0.85942,0.91596,0.83135,0.50175,0.31621,0.93365,0.000387298,0.000387298,0.000387298
40,11183.8,0.62478,0.49308,1.15279,0.82658,0.87393,0.91819,0.83029,0.49534,0.33403,0.9167,0.000381818,0.000381818,0.000381818
41,11480.6,0.62364,0.49221,1.1503,0.81012,0.88107,0.90282,0.82543,0.47722,0.34821,0.91705,0.00037625,0.00037625,0.00037625
42,11775.6,0.62128,0.48028,1.15376,0.90894,0.84665,0.91921,0.83962,0.4691,0.31918,0.90197,0.000370597,0.000370597,0.000370597
43,12075.2,0.61204,0.47863,1.14941,0.85624,0.85239,0.9191,0.84337,0.47112,0.32941,0.89176,0.000364863,0.000364863,0.000364863
44,12399,0.61144,0.4718,1.14824,0.82444,0.87989,0.91132,0.83141,0.48189,0.34143,0.91183,0.000359051,0.000359051,0.000359051
45,12690.5,0.60839,0.47653,1.14962,0.8265,0.86384,0.89494,0.81948,0.47801,0.33041,0.9129,0.000353167,0.000353167,0.000353167
46,12982.3,0.60113,0.46217,1.14084,0.85506,0.85486,0.91844,0.85001,0.46194,0.33306,0.88888,0.000347214,0.000347214,0.000347214
47,13274,0.58799,0.4445,1.13433,0.8741,0.84134,0.91925,0.84876,0.46416,0.3118,0.88955,0.000341196,0.000341196,0.000341196
48,24140.1,0.60391,0.44248,1.14741,0.87174,0.85664,0.90916,0.84677,0.44232,0.29704,0.88095,0.000335117,0.000335117,0.000335117
49,24425.3,0.60132,0.44873,1.14109,0.85487,0.88593,0.91306,0.83961,0.45497,0.30212,0.88948,0.000328982,0.000328982,0.000328982
50,24712.2,0.58287,0.44504,1.13387,0.89563,0.83734,0.9182,0.85201,0.45802,0.31375,0.89032,0.000322794,0.000322794,0.000322794
51,24999.9,0.59072,0.43768,1.13975,0.8645,0.88545,0.91162,0.85464,0.43048,0.31121,0.86602,0.000316558,0.000316558,0.000316558
